transaction_id,amount,time,merchant,location
1,224.83570765056163,7,grocery,Mumbai
2,193.08678494144075,0,grocery,Pune
3,232.38442690503462,23,travel,Pune
4,276.15149282040124,21,grocery,Delhi
5,188.2923312638332,3,electronics,Mumbai
6,188.29315215254098,11,travel,Pune
7,278.9606407753696,23,travel,Mumbai
8,238.37173645764545,2,grocery,Mumbai
9,176.52628070325238,12,restaurant,Delhi
10,227.12800217929822,19,electronics,Delhi
11,176.82911535937689,5,electronics,Mumbai
12,176.71351232148714,10,electronics,Mumbai
13,212.0981135783017,22,travel,Delhi
14,104.33598776711011,3,electronics,Mumbai
15,113.75410837434836,19,restaurant,Delhi
16,171.88562353795137,15,restaurant,Bangalore
17,149.35844398327882,6,grocery,Mumbai
18,215.7123666297637,21,electronics,Delhi
19,154.59879622393944,10,travel,Mumbai
20,129.38481493323542,23,grocery,Delhi
21,273.2824384460777,0,restaurant,Mumbai
22,188.7111849756732,6,electronics,Pune
23,203.3764102343962,11,restaurant,Pune
24,128.76259068932717,6,grocery,Mumbai
25,172.78086377374086,22,restaurant,Pune
26,205.5461294854933,6,electronics,Mumbai
27,142.45032112888487,9,electronics,Mumbai
28,218.7849009172836,15,grocery,Bangalore
29,169.96806550405975,7,electronics,Bangalore
30,185.41531251033615,8,restaurant,Pune
31,169.91466938853014,8,restaurant,Bangalore
32,292.6139092254469,1,travel,Bangalore
33,199.3251387631033,12,travel,Mumbai
34,147.114453552205,12,travel,Delhi
35,241.12724560515946,22,restaurant,Mumbai
36,138.9578175014489,22,restaurant,Bangalore
37,210.44317975023776,3,grocery,Mumbai
38,102.01649380601123,23,travel,Pune
39,133.59069755507846,11,restaurant,Delhi
40,209.84306179345617,16,grocery,Bangalore
41,236.92332899977052,1,restaurant,Bangalore
42,208.56841405949854,12,grocery,Mumbai
43,194.21758588058796,17,travel,Mumbai
44,184.94481522053556,14,travel,Mumbai
45,126.07390048162863,7,travel,Mumbai
46,164.00778958026456,14,restaurant,Bangalore
47,176.96806145201063,0,restaurant,Mumbai
48,252.85611131094578,19,grocery,Bangalore
49,217.18091447842306,9,electronics,Mumbai
50,111.8479922318633,11,electronics,Delhi
51,216.20419846973977,4,travel,Delhi
52,180.74588597918418,8,electronics,Mumbai
53,166.15389998470206,22,travel,Mumbai
54,230.5838144420434,7,grocery,Pune
55,251.54997612479755,15,electronics,Delhi
56,246.56400595580993,13,electronics,Bangalore
57,158.03912383886808,12,travel,Delhi
58,184.53938120743928,22,grocery,Bangalore
59,216.5631715701782,20,electronics,Mumbai
60,248.77725635611796,12,electronics,Delhi
61,176.0412881077355,4,electronics,Delhi
62,190.71705116680914,15,grocery,Pune
63,144.68325129969858,10,grocery,Pune
64,140.18966879596647,21,electronics,Delhi
65,240.6262911197099,4,travel,Delhi
66,267.8120014285412,12,travel,Delhi
67,196.3994939209833,10,electronics,Bangalore
68,250.17664489460122,18,grocery,Mumbai
69,218.0818012523817,2,electronics,Pune
70,167.7440122697438,14,grocery,Mumbai
71,218.0697802754207,6,electronics,Pune
72,276.90182832329845,6,grocery,Pune
73,198.20869804450243,5,restaurant,Pune
74,278.23218279070034,2,travel,Delhi
75,69.01274479551279,12,restaurant,Pune
76,241.09512521876118,6,travel,Mumbai
77,204.35235341190855,4,grocery,Pune
78,185.04963247670662,22,restaurant,Mumbai
79,204.58803882677512,17,travel,Pune
80,100.62155426995535,21,electronics,Pune
81,189.01640560812442,7,grocery,Delhi
82,217.85562857558733,16,grocery,Mumbai
83,273.8947022370758,19,electronics,Pune
84,174.08648908631764,0,electronics,Pune
85,159.5753198553406,13,travel,Mumbai
86,174.91214782077316,16,grocery,Pune
87,245.7701058851037,9,travel,Bangalore
88,216.43755548298424,11,electronics,Delhi
